strategy,market,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,test_trades,win_rate,score
crash,2800.HK,"lb2,drop0.05,ma50,h3,sl0.03,tp0.1",-0.10152979695704045,-0.4176903063277585,-0.0760506001699961,-0.19750565180469493,-0.9495654872304501,3,0.0,-0.20595237353898008
crash,2800.HK,"lb2,drop0.05,ma50,h3,sl0.05,tp0.06",-0.09995941735876701,-0.44530880877042156,-0.009058525200874468,-0.07751178951647042,-0.1517670686827141,3,0.6666666666666666,-0.2112866195513724
crash,2800.HK,"lb2,drop0.05,ma50,h3,sl0.05,tp0.1",-0.10779550452884656,-0.4453088087704218,-0.015590435746958176,-0.08339844541830232,-0.3151791958359734,2,0.5,-inf
crash,2800.HK,"lb2,drop0.05,ma100,h1,sl0.03,tp0.06",-0.07474398892939904,-0.3800208360223264,-0.0760506001699961,-0.19750565180469493,-0.9495654872304501,3,0.0,-0.16974919793498064
crash,2800.HK,"lb2,drop0.05,ma100,h1,sl0.03,tp0.1",-0.08237853499476477,-0.4009689240404013,-0.0760506001699961,-0.19750565180469493,-0.9495654872304501,3,0.0,-0.1826207660048651
crash,2800.HK,"lb2,drop0.05,ma100,h1,sl0.05,tp0.06",-0.08395077141144125,-0.4053234185462318,-0.033866163831156815,-0.09138992662577505,-0.9105971907334948,3,0.3333333333333333,-0.1852816260479992
crash,2800.HK,"lb2,drop0.05,ma100,h1,sl0.05,tp0.1",-0.09150934974016789,-0.42541657343656347,-0.033866163831156815,-0.09138992662577505,-0.9105971907334948,3,0.3333333333333333,-0.19786349309930876
crash,2800.HK,"lb2,drop0.05,ma100,h2,sl0.03,tp0.06",-0.08735680715410876,-0.4000410658964758,-0.0760506001699961,-0.19750565180469493,-0.9495654872304501,3,0.0,-0.18736707362822771
crash,2800.HK,"lb2,drop0.05,ma100,h2,sl0.03,tp0.1",-0.10957188832752607,-0.45501394517990623,-0.0760506001699961,-0.19750565180469493,-0.9495654872304501,3,0.0,-0.22332537462250263
crash,2800.HK,"lb2,drop0.05,ma100,h2,sl0.05,tp0.06",-0.08494058124117754,-0.4074502695007425,-0.009058525200874468,-0.07751178951647042,-0.1517670686827141,3,0.6666666666666666,-0.18680314861636316
crash,2800.HK,"lb2,drop0.05,ma100,h2,sl0.05,tp0.1",-0.10721447691648311,-0.4489768108229534,-0.033141230127277765,-0.08949214475778133,-0.863071537875713,2,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma100,h3,sl0.03,tp0.06",-0.09363867909504675,-0.4000410658964759,-0.0760506001699961,-0.19750565180469493,-0.9495654872304501,3,0.0,-0.19364894556916573
crash,2800.HK,"lb2,drop0.05,ma100,h3,sl0.03,tp0.1",-0.10152979695704045,-0.4176903063277585,-0.0760506001699961,-0.19750565180469493,-0.9495654872304501,3,0.0,-0.20595237353898008
crash,2800.HK,"lb2,drop0.05,ma100,h3,sl0.05,tp0.06",-0.09995941735876701,-0.44530880877042156,-0.009058525200874468,-0.07751178951647042,-0.1517670686827141,3,0.6666666666666666,-0.2112866195513724
crash,2800.HK,"lb2,drop0.05,ma100,h3,sl0.05,tp0.1",-0.10779550452884656,-0.4453088087704218,-0.015590435746958176,-0.08339844541830232,-0.3151791958359734,2,0.5,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h1,sl0.03,tp0.06",-0.08243199954197178,-0.3800208360223264,-0.011921119669772495,-0.032810439898400046,-0.819735504908233,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h1,sl0.03,tp0.1",-0.09000310968206904,-0.4009689240404014,-0.011921119669772495,-0.032810439898400046,-0.819735504908233,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h1,sl0.05,tp0.06",-0.09156228228709506,-0.4053234185462319,-0.005434474941124701,-0.01504424333187937,-0.7275684754786115,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h1,sl0.05,tp0.1",-0.09905805591127304,-0.42541657343656336,-0.005434474941124701,-0.01504424333187937,-0.7275684754786115,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h2,sl0.03,tp0.06",-0.09005229025495765,-0.4000410658964755,-0.011921119669772495,-0.032810439898400046,-0.819735504908233,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h2,sl0.03,tp0.1",-0.11220175939471655,-0.4550139451799061,-0.011921119669772495,-0.032810439898400046,-0.819735504908233,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h2,sl0.05,tp0.06",-0.08764320064257314,-0.4074502695007427,0.020103210642516744,-0.012071097668943098,0.5681438605796795,1,1.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h2,sl0.05,tp0.1",-0.10985131057614139,-0.4489768108229535,-0.005904503302364361,-0.01633856433481662,-0.4332001070766648,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h3,sl0.03,tp0.06",-0.09005229025495765,-0.4000410658964755,-0.011921119669772495,-0.032810439898400046,-0.819735504908233,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h3,sl0.03,tp0.1",-0.09797463254851446,-0.4176903063277583,-0.011921119669772495,-0.032810439898400046,-0.819735504908233,1,0.0,-inf
crash,2800.HK,"lb2,drop0.05,ma200,h3,sl0.05,tp0.06",-0.09639803910181677,-0.4453088087704221,0.020103210642516744,-0.012071097668943098,0.5681438605796795,1,1.0,-inf
